trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,5150,1,5300,2,right,1,1,5.372,Wed May 11 15:15:54 2016
2,5300,2,5450,3,left,0,2,8.281,Wed May 11 15:16:04 2016
3,5450,3,6350,9,left,0,15,11.299,Wed May 11 15:16:17 2016
4,6350,9,6200,8,left,1,8,10.15,Wed May 11 15:16:28 2016
5,6350,9,6200,8,left,1,8,14.437,Wed May 11 15:16:45 2016
6,6500,10,6050,7,left,1,12,7.663,Wed May 11 15:16:53 2016
7,6200,8,6050,7,left,1,7,10.482,Wed May 11 15:17:05 2016
8,5150,1,5300,2,right,1,1,7.713,Wed May 11 15:17:14 2016
9,6050,7,6200,8,right,1,7,8.63,Wed May 11 15:17:24 2016
10,1450,10,1250,4,right,0,23,7.545,Wed May 11 15:17:32 2016
11,5300,2,5600,4,right,1,5,8.096,Wed May 11 15:17:41 2016
12,1150,1,1450,10,right,1,24,7.513,Wed May 11 15:17:59 2016
13,5150,1,6050,7,left,0,16,9.297,Wed May 11 15:18:09 2016
14,1250,4,1150,1,right,0,19,6.445,Wed May 11 15:18:17 2016
15,6350,9,6200,8,right,0,8,10.732,Wed May 11 15:18:28 2016
16,5150,1,5450,3,right,1,4,4.876,Wed May 11 15:18:33 2016
17,6500,10,6050,7,left,1,12,11.449,Wed May 11 15:18:46 2016
18,1450,10,1350,7,right,0,21,10.95,Wed May 11 15:18:58 2016
19,1150,1,1450,10,left,0,24,5.159,Wed May 11 15:19:04 2016
20,6200,8,6500,10,right,1,11,9.133,Wed May 11 15:19:13 2016
21,6200,8,5300,2,right,0,13,9.931,Wed May 11 15:19:24 2016
22,5150,1,5600,4,left,0,6,6.629,Wed May 11 15:19:31 2016
23,6050,7,6200,8,right,1,7,3.958,Wed May 11 15:19:36 2016
24,1250,4,1350,7,left,0,20,6.046,Wed May 11 15:19:43 2016
25,6200,8,6500,10,right,1,11,7.829,Wed May 11 15:19:51 2016
26,1150,1,1450,10,left,0,24,3.808,Wed May 11 15:19:57 2016
27,5150,1,5450,3,right,1,4,9.414,Wed May 11 15:20:09 2016
28,6350,9,6500,10,right,1,9,5.476,Wed May 11 15:20:15 2016
29,1450,10,1350,7,right,0,21,6.361,Wed May 11 15:20:22 2016
30,6500,10,5600,4,right,0,17,5.978,Wed May 11 15:20:28 2016
31,1350,7,1250,4,right,0,20,5.358,Wed May 11 15:20:34 2016
32,5450,3,5300,2,left,1,2,5.178,Wed May 11 15:20:41 2016
33,5300,2,5150,1,left,1,1,7.68,Wed May 11 15:20:49 2016
34,5300,2,6200,8,left,0,13,6.212,Wed May 11 15:20:56 2016
35,5450,3,5150,1,right,0,4,5.226,Wed May 11 15:21:02 2016
36,5450,3,5150,1,right,0,4,5.945,Wed May 11 15:21:08 2016
37,6350,9,6050,7,left,1,10,7.496,Wed May 11 15:21:16 2016
38,1350,7,1150,1,right,0,22,5.16,Wed May 11 15:21:22 2016
39,1450,10,1150,1,right,0,24,9.549,Wed May 11 15:21:33 2016
40,1250,4,1450,10,left,0,23,5.411,Wed May 11 15:21:39 2016
41,5600,4,6500,10,left,0,17,15.52,Wed May 11 15:21:55 2016
42,1450,10,1350,7,right,0,21,3.474,Wed May 11 15:21:59 2016
43,5600,4,5150,1,left,1,6,7.596,Wed May 11 15:22:07 2016
44,5600,4,5300,2,right,0,5,6.728,Wed May 11 15:22:15 2016
45,6050,7,6500,10,right,1,12,7.195,Wed May 11 15:22:23 2016
46,5150,1,6050,7,left,0,16,9.565,Wed May 11 15:22:33 2016
47,6500,10,6350,9,left,1,9,9.547,Wed May 11 15:22:43 2016
48,5600,4,6500,10,left,0,17,9.348,Wed May 11 15:22:53 2016
49,6200,8,6500,10,right,1,11,4.108,Wed May 11 15:22:58 2016
50,5150,1,5450,3,right,1,4,3.91,Wed May 11 15:23:03 2016
51,5450,3,5150,1,left,1,4,6.845,Wed May 11 15:23:10 2016
52,1350,7,1250,4,right,0,20,10.766,Wed May 11 15:23:21 2016
53,5150,1,6500,10,left,0,18,7.745,Wed May 11 15:23:40 2016
54,1350,7,1150,1,right,0,22,4.375,Wed May 11 15:23:45 2016
55,5600,4,6050,7,right,1,14,10.483,Wed May 11 15:23:56 2016
56,5300,2,5600,4,right,1,5,10.466,Wed May 11 15:24:19 2016
57,1350,7,1250,4,right,0,20,12.664,Wed May 11 15:24:33 2016
58,5150,1,6500,10,left,0,18,3.024,Wed May 11 15:24:36 2016
59,6500,10,6200,8,left,1,11,5.476,Wed May 11 15:24:42 2016
60,6500,10,6350,9,right,0,9,3.509,Wed May 11 15:24:48 2016
61,5150,1,5450,3,right,1,4,9.297,Wed May 11 15:24:57 2016
62,6500,10,6350,9,left,1,9,9.899,Wed May 11 15:25:12 2016
63,6500,10,5150,1,right,0,18,8.779,Wed May 11 15:25:22 2016
64,5300,2,5600,4,right,1,5,32.172,Wed May 11 15:25:55 2016
65,5150,1,5600,4,right,1,6,5.542,Wed May 11 15:26:01 2016
66,6050,7,5600,4,left,1,14,8.414,Wed May 11 15:26:10 2016
67,6500,10,6050,7,left,1,12,6.043,Wed May 11 15:26:17 2016
68,5150,1,6500,10,left,0,18,7.948,Wed May 11 15:26:25 2016
69,5150,1,5600,4,right,1,6,7.711,Wed May 11 15:26:34 2016
70,1150,1,1450,10,left,0,24,4.007,Wed May 11 15:26:38 2016
71,5150,1,5450,3,right,1,4,3.257,Wed May 11 15:26:42 2016
72,6200,8,6350,9,right,1,8,5.911,Wed May 11 15:26:52 2016
73,6500,10,5150,1,right,0,18,4.107,Wed May 11 15:26:57 2016
74,6500,10,5600,4,right,0,17,7.463,Wed May 11 15:27:05 2016
75,6200,8,6050,7,left,1,7,6.361,Wed May 11 15:27:12 2016
76,5300,2,5600,4,right,1,5,5.51,Wed May 11 15:27:18 2016
77,6200,8,6500,10,right,1,11,24.56,Wed May 11 15:27:44 2016
78,6050,7,5600,4,right,0,14,11.601,Wed May 11 15:27:56 2016
79,1150,1,1450,10,left,0,24,8.531,Wed May 11 15:28:05 2016
80,1150,1,1350,7,left,0,22,3.141,Wed May 11 15:28:09 2016
